week,¼Ò¸Å°¡,Æò±Õ±â¿Â,ÃÖÀú±â¿Â,ÃÖ°í±â¿Â,°­¼ö·®,È¯À²,¼öÀÔ·®,¼öÀÔ¾×,»ý»ê·®,Àç¹è¸éÀû,¹°°¡Áö¼ö
07??1ì£?(2016.07.07 ~ 2016.07.13),1572,25.35714286,21.61428571,30.22857143,1.914285714,1138.6,229.3775,14409.538,275.727825,382.6153846,70.896
07??2ì£?(2016.07.14 ~ 2016.07.20),1457,24.07142857,20.7,28.28571429,4.571428571,1136.35,229.3775,14409.538,275.727825,382.6153846,70.896
07??3ì£?(2016.07.21 ~ 2016.07.27),1534,26.84285714,23.14285714,31.42857143,1.885714286,1112.24,229.3775,14409.538,275.727825,382.6153846,70.896
07??4ì£?(2016.07.28 ~ 2016.08.03),1514,27.57142857,24.08571429,32.44285714,4.042857143,1115.27,229.3775,14409.538,275.727825,382.6153846,70.896
08??1ì£?(2016.08.04 ~ 2016.08.10),1541,28.11428571,23.71428571,33.7,1.142857143,1103.49,149.8275,9219.87,275.727825,382.6153846,69.435
08??2ì£?(2016.08.11 ~ 2016.08.17),1604,28.78571429,24.35714286,34.42857143,1.185714286,1115.57,149.8275,9219.87,275.727825,382.6153846,69.435
08??3ì£?(2016.08.18 ~ 2016.08.24),1614,27.85714286,23.47142857,33.48571429,0.585714286,1122.52,149.8275,9219.87,275.727825,382.6153846,69.435
08??4ì£?(2016.08.25 ~ 2016.08.31),1611,21.95714286,17.95714286,26.67142857,6.942857143,1116.45,149.8275,9219.87,275.727825,382.6153846,69.435
09??1ì£?(2016.09.01 ~ 2016.09.07),1601,23.54285714,20.22857143,28.04285714,8.014285714,1108.73,205.89,12424.71893,275.727825,382.6153846,69.913
09??2ì£?(2016.09.08 ~ 2016.09.13),1559,22.48571429,18.71428571,27.62857143,2.671428571,1126.06,205.89,12424.71893,275.727825,382.6153846,69.913
